multiplex	node	score
1	1387	1.907622563137918e-05
1	4157	1.9066118796359475e-05
1	7852	1.90565274879908e-05
1	155	1.904507802164298e-05
1	5925	1.903909604684653e-05
1	9971	1.9020453800654854e-05
1	5582	1.898099015423629e-05
1	54106	1.8955706516111776e-05
1	316	1.8951055374843757e-05
1	147	1.8935715524020416e-05
1	6820	1.8935004044399592e-05
1	1969	1.8915188170055873e-05
1	6356	1.8902165386990117e-05
1	1511	1.8882688073064047e-05
1	1139	1.887268704688144e-05
1	54600	1.8865709553150837e-05
1	148	1.8852529883338787e-05
1	8692	1.8839500675538667e-05
1	1674	1.8837409468045072e-05
1	127	1.874914463833583e-05
1	545	1.8716449761574492e-05
1	1457	1.8611600239208525e-05
1	6607	1.852510663180255e-05
1	26	1.8524222681159205e-05
1	2621	1.849819206221196e-05
1	3785	1.8438396839178453e-05
1	10928	1.8429449659446355e-05
1	5335	1.8386597324215467e-05
1	2263	1.8370717161045094e-05
1	1021	1.836868484748589e-05
1	6272	1.8365095128020235e-05
1	796	1.822671499383142e-05
1	79001	1.8179540517011015e-05
1	5478	1.817793730732517e-05
1	2697	1.8143372774469417e-05
1	6648	1.8120761535767768e-05
1	114548	1.8107771956187566e-05
1	4893	1.810669176066177e-05
1	4985	1.8103244031722133e-05
1	1386	1.8027233923331482e-05
1	558	1.8023632010001642e-05
1	6999	1.801950750452246e-05
1	7432	1.798140484955827e-05
1	4313	1.7958144678347698e-05
1	9682	1.7944800675664343e-05
1	6783	1.79302041909068e-05
1	2264	1.7924823304625097e-05
1	6095	1.7912925816820845e-05
1	11309	1.787062835846946e-05
1	79068	1.783374745695143e-05
1	5744	1.783287129978493e-05
1	3572	1.7811038756132163e-05
1	1019	1.7764756137967135e-05
1	6261	1.7758190329077828e-05
1	3554	1.7736167353312517e-05
1	3162	1.772084538299461e-05
1	9099	1.7695858503027056e-05
1	4092	1.767645704575026e-05
1	816	1.7632030241111186e-05
1	366	1.7548606580844627e-05
1	783	1.7487165765674482e-05
1	409	1.745501308052316e-05
1	54578	1.7449973005169988e-05
1	8493	1.74077378746746e-05
1	3748	1.7347265908429043e-05
1	4771	1.733157372553969e-05
1	3614	1.7315760846198137e-05
1	675	1.7278611385728763e-05
1	3953	1.7214650461980287e-05
1	4923	1.7211557308182477e-05
1	57016	1.7207661439920986e-05
1	5139	1.7184301938987407e-05
1	8837	1.7159906098462723e-05
1	218	1.710680160946164e-05
1	6366	1.7104989119581987e-05
1	929	1.7088889007040468e-05
1	1071	1.707824785294445e-05
1	4914	1.7071568505007945e-05
1	1453	1.706784313749257e-05
1	5603	1.699982599127114e-05
1	1081	1.699551427214054e-05
1	7137	1.697596240352115e-05
1	54657	1.6972728195971e-05
1	8321	1.6966640000401725e-05
1	801	1.689382231107548e-05
1	3755	1.6779249903357336e-05
